baseline,baseline_family,channel_size,num_enabled,macro_auroc_median,macro_auroc_std,macro_auprc_median,macro_auprc_std,macro_r2_median,macro_r2_std,macro_pearson_median,macro_pearson_std,file
OracleDenseParams,oracle,512,3,1,0,1,0,0.999958,5.08108e-07,0.999987,1.97623e-07,Baseline-OracleDenseParams-L512__num_enabled_3.json
OracleEnabledMask,oracle,128,1,1,0,1,0,-0.0858084,0.00149086,-2.2032e-10,1.43595e-08,Baseline-OracleEnabledMask-L128__num_enabled_1.json
OracleEnabledMask,oracle,128,2,1,0,1,0,-0.0544834,0.00108637,0.00539463,0.00166436,Baseline-OracleEnabledMask-L128__num_enabled_2.json
OracleEnabledMask,oracle,128,3,1,0,1,0,-0.0335495,0.000672393,0.00545182,0.0014131,Baseline-OracleEnabledMask-L128__num_enabled_3.json
OracleEnabledMask,oracle,16384,1,1,0,1,0,-0.0753428,0.00142832,-5.29467e-09,8.94626e-09,Baseline-OracleEnabledMask-L16384__num_enabled_1.json
OracleEnabledMask,oracle,16384,2,1,0,1,0,-0.0482294,0.00101618,0.00587402,0.0018426,Baseline-OracleEnabledMask-L16384__num_enabled_2.json
OracleEnabledMask,oracle,16384,3,1,0,1,0,-0.0303457,0.00063899,0.00564207,0.00131533,Baseline-OracleEnabledMask-L16384__num_enabled_3.json
OracleEnabledMask,oracle,2048,1,1,0,1,0,-0.07587,0.00143057,-1.04972e-09,1.15846e-08,Baseline-OracleEnabledMask-L2048__num_enabled_1.json
OracleEnabledMask,oracle,2048,2,1,0,1,0,-0.0486396,0.00101281,0.00518726,0.00203528,Baseline-OracleEnabledMask-L2048__num_enabled_2.json
OracleEnabledMask,oracle,2048,3,1,0,1,0,-0.030563,0.000632041,0.00535505,0.00160679,Baseline-OracleEnabledMask-L2048__num_enabled_3.json
OracleEnabledMask,oracle,5000,1,1,0,1,0,-0.0755138,0.00142842,0,1.62605e-08,Baseline-OracleEnabledMask-L5000__num_enabled_1.json
OracleEnabledMask,oracle,5000,2,1,0,1,0,-0.0483229,0.00102444,0.00592306,0.00164392,Baseline-OracleEnabledMask-L5000__num_enabled_2.json
OracleEnabledMask,oracle,5000,3,1,0,1,0,-0.0304494,0.000643191,0.00570251,0.00126079,Baseline-OracleEnabledMask-L5000__num_enabled_3.json
OracleEnabledMask,oracle,512,1,1,0,1,0,-0.0777183,0.00144229,-3.26976e-09,1.1136e-08,Baseline-OracleEnabledMask-L512__num_enabled_1.json
OracleEnabledMask,oracle,512,2,1,0,1,0,-0.0496259,0.0010715,0.00569543,0.00201917,Baseline-OracleEnabledMask-L512__num_enabled_2.json
OracleEnabledMask,oracle,512,3,1,0,1,0,-0.0311582,0.000646308,0.00554542,0.00150876,Baseline-OracleEnabledMask-L512__num_enabled_3.json
RandomProjection512,random_feature,128,1,0.509757,0.000789074,0.163252,0.00100011,-0.952301,0.0124365,0.283124,0.00178749,Baseline-RandomProjection512-L128__num_enabled_1.json
RandomProjection512,random_feature,128,2,0.503676,0.000640319,0.176649,0.000641004,-0.111175,0.00173366,0.221838,0.00123451,Baseline-RandomProjection512-L128__num_enabled_2.json
RandomProjection512,random_feature,128,3,0.502141,0.000537595,0.244337,0.000546915,-0.0975901,0.00161017,0.196753,0.00116769,Baseline-RandomProjection512-L128__num_enabled_3.json
RandomProjection512,random_feature,16384,1,0.502075,0.000818569,0.171754,0.000958005,-3.93908,0.0923459,0.180775,0.0020894,Baseline-RandomProjection512-L16384__num_enabled_1.json
RandomProjection512,random_feature,16384,2,0.501327,0.000617794,0.175933,0.000708713,-0.330153,0.00393058,0.142704,0.00150025,Baseline-RandomProjection512-L16384__num_enabled_2.json
RandomProjection512,random_feature,16384,3,0.500765,0.000511635,0.230115,0.000439281,-0.220663,0.00168208,0.125985,0.0013033,Baseline-RandomProjection512-L16384__num_enabled_3.json
RandomProjection512,random_feature,2048,1,0.502966,0.000961933,0.181644,0.00111491,-1.8753,0.0240059,0.217182,0.00167675,Baseline-RandomProjection512-L2048__num_enabled_1.json
RandomProjection512,random_feature,2048,2,0.501439,0.000460672,0.173092,0.000426525,-0.322307,0.00322104,0.168839,0.00151057,Baseline-RandomProjection512-L2048__num_enabled_2.json
RandomProjection512,random_feature,2048,3,0.501361,0.000591504,0.232051,0.000467058,-0.204745,0.00225157,0.153454,0.00105053,Baseline-RandomProjection512-L2048__num_enabled_3.json
RandomProjection512,random_feature,5000,1,0.502627,0.00164926,0.162261,0.00121005,-2.78475,0.0421997,0.193364,0.00158683,Baseline-RandomProjection512-L5000__num_enabled_1.json
RandomProjection512,random_feature,5000,2,0.501853,0.000440076,0.172399,0.000566796,-0.323099,0.00414762,0.152947,0.00179815,Baseline-RandomProjection512-L5000__num_enabled_2.json
RandomProjection512,random_feature,5000,3,0.501326,0.000446871,0.231856,0.000831197,-0.21488,0.00253814,0.138055,0.00123959,Baseline-RandomProjection512-L5000__num_enabled_3.json
